resource,keyword
https://vivo.invid.udl.cat/individual/UDL-06000001,web 3.0
https://vivo.invid.udl.cat/individual/UDL-06000001,publishing
https://vivo.invid.udl.cat/individual/UDL-06000001,biomedical journals
https://vivo.invid.udl.cat/individual/UDL-06000001,user interface
https://vivo.invid.udl.cat/individual/UDL-06000001,multimodality
https://vivo.invid.udl.cat/individual/UDL-06000001,quality
https://vivo.invid.udl.cat/individual/UDL-06000001,ulearning
https://vivo.invid.udl.cat/individual/UDL-06000001,knowledge representation
https://vivo.invid.udl.cat/individual/UDL-06000001,content value chain
https://vivo.invid.udl.cat/individual/UDL-06000001,thinking aloud
https://vivo.invid.udl.cat/individual/UDL-06000001,e-learning
https://vivo.invid.udl.cat/individual/UDL-06000001,data integration
https://vivo.invid.udl.cat/individual/UDL-06000001,eeg
https://vivo.invid.udl.cat/individual/UDL-06000001,semantics
https://vivo.invid.udl.cat/individual/UDL-06000001,innovación docente
https://vivo.invid.udl.cat/individual/UDL-06000001,multimedia
https://vivo.invid.udl.cat/individual/UDL-06000001,empathy
https://vivo.invid.udl.cat/individual/UDL-06000001,copyright
https://vivo.invid.udl.cat/individual/UDL-06000001,linked data
https://vivo.invid.udl.cat/individual/UDL-06000001,xapi
https://vivo.invid.udl.cat/individual/UDL-06000001,smart contract
https://vivo.invid.udl.cat/individual/UDL-06000001,accessibility policies
https://vivo.invid.udl.cat/individual/UDL-06000001,llenguatges i sistemes informàtics
https://vivo.invid.udl.cat/individual/UDL-06000001,emotions
https://vivo.invid.udl.cat/individual/UDL-06000001,eye tracking
https://vivo.invid.udl.cat/individual/UDL-06000001,emotion
https://vivo.invid.udl.cat/individual/UDL-06000001,news
https://vivo.invid.udl.cat/individual/UDL-06000001,accessibility
https://vivo.invid.udl.cat/individual/UDL-06000001,human-computer interaction
https://vivo.invid.udl.cat/individual/UDL-06000001,search
https://vivo.invid.udl.cat/individual/UDL-06000001,tla
https://vivo.invid.udl.cat/individual/UDL-06000001,newspaper
https://vivo.invid.udl.cat/individual/UDL-06000001,human computer interaction
https://vivo.invid.udl.cat/individual/UDL-06000001,semantic web
https://vivo.invid.udl.cat/individual/UDL-06000001,computer supported collaborative learning
https://vivo.invid.udl.cat/individual/UDL-06000001,integration
https://vivo.invid.udl.cat/individual/UDL-06000001,colaboración multidisciplinar
https://vivo.invid.udl.cat/individual/UDL-06000001,pruebas con usuarios
https://vivo.invid.udl.cat/individual/UDL-06000001,semantic web-based information systems
https://vivo.invid.udl.cat/individual/UDL-06000001,cscl
https://vivo.invid.udl.cat/individual/UDL-06000001,004
https://vivo.invid.udl.cat/individual/UDL-06000001,knowledge representation
https://vivo.invid.udl.cat/individual/UDL-06000001,human computer interaction
https://vivo.invid.udl.cat/individual/UDL-06000001,social networks
https://vivo.invid.udl.cat/individual/UDL-06000001,best practices
https://vivo.invid.udl.cat/individual/UDL-06000001,test de estrés de navegación
https://vivo.invid.udl.cat/individual/UDL-06000001,collaborative learning
https://vivo.invid.udl.cat/individual/UDL-06000001,web semántica
https://vivo.invid.udl.cat/individual/UDL-06000001,web semántica
https://vivo.invid.udl.cat/individual/UDL-06000001,learning object
https://vivo.invid.udl.cat/individual/UDL-06000001,cooperative learning
https://vivo.invid.udl.cat/individual/UDL-06000001,wiki
https://vivo.invid.udl.cat/individual/UDL-06000001,evaluation
https://vivo.invid.udl.cat/individual/UDL-06000001,biometric information
https://vivo.invid.udl.cat/individual/UDL-06000001,software development project
https://vivo.invid.udl.cat/individual/UDL-06000001,ontology
https://vivo.invid.udl.cat/individual/UDL-06000001,linked data
https://vivo.invid.udl.cat/individual/UDL-06000001,user experience
https://vivo.invid.udl.cat/individual/UDL-06000001,interaction
https://vivo.invid.udl.cat/individual/UDL-06000001,decentralized applications
https://vivo.invid.udl.cat/individual/UDL-06000001,knowledge awareness
https://vivo.invid.udl.cat/individual/UDL-06000001,b2b
https://vivo.invid.udl.cat/individual/UDL-06000001,interacción persona ordenador
https://vivo.invid.udl.cat/individual/UDL-06000001,digital rights management
https://vivo.invid.udl.cat/individual/UDL-06000001,ontological engineering
https://vivo.invid.udl.cat/individual/UDL-06000001,context
https://vivo.invid.udl.cat/individual/UDL-06000001,blockchain
https://vivo.invid.udl.cat/individual/UDL-06000001,medical images
https://vivo.invid.udl.cat/individual/UDL-06000001,arquitectura de la información
https://vivo.invid.udl.cat/individual/UDL-06000001,exploration
https://vivo.invid.udl.cat/individual/UDL-06000001,ontology engineering
https://vivo.invid.udl.cat/individual/UDL-06000001,information architecture
https://vivo.invid.udl.cat/individual/UDL-06000001,knowledge sharing
https://vivo.invid.udl.cat/individual/UDL-06000001,upper ontologies
https://vivo.invid.udl.cat/individual/UDL-06000001,navegación
https://vivo.invid.udl.cat/individual/UDL-06000001,web semàntica
https://vivo.invid.udl.cat/individual/UDL-06000001,arquitectura de la información
https://vivo.invid.udl.cat/individual/UDL-06000001,affective computing
https://vivo.invid.udl.cat/individual/UDL-06000001,quality management system
https://vivo.invid.udl.cat/individual/UDL-06000001,patrones de interacción
https://vivo.invid.udl.cat/individual/UDL-06000001,copyright law
https://vivo.invid.udl.cat/individual/UDL-06000001,design of affective interaction systems
https://vivo.invid.udl.cat/individual/UDL-06000001,ontologies
https://vivo.invid.udl.cat/individual/UDL-06000001,interfaces de usuario
https://vivo.invid.udl.cat/individual/UDL-06000001,semantic web ontologies
https://vivo.invid.udl.cat/individual/UDL-06000001,arquitectura de la informació
https://vivo.invid.udl.cat/individual/UDL-06000001,semantic mediawiki
https://vivo.invid.udl.cat/individual/UDL-06000001,copyright
https://vivo.invid.udl.cat/individual/UDL-06000001,gamificación
https://vivo.invid.udl.cat/individual/UDL-06000001,semantic web applications
https://vivo.invid.udl.cat/individual/UDL-06000001,knowledge engineering
https://vivo.invid.udl.cat/individual/UDL-06000001,usability
https://vivo.invid.udl.cat/individual/UDL-06000001,moocs
https://vivo.invid.udl.cat/individual/UDL-06000001,semantic web
https://vivo.invid.udl.cat/individual/UDL-07003304,Thermal energy storage; Phase change material; Heat transfer; Road; carretera; Asphalt mixture
https://vivo.invid.udl.cat/individual/UDL-00000467,"colonic metabolism, microbiome, polyphenols, phenol metabolism, ultra-performance liquid chromatography mass spectrometry, wine, vino"
https://vivo.invid.udl.cat/individual/UDL-07004996,Older people / Ageing
https://vivo.invid.udl.cat/individual/UDL-07005349,Compositional Data Analysis - CODA
https://vivo.invid.udl.cat/individual/UDL-07005349,informatica . IA . ordenador . computación
https://vivo.invid.udl.cat/individual/UDL-07005349,hola / ola
https://vivo.invid.udl.cat/individual/UDL-07005349,didàctica de l'anglès
https://vivo.invid.udl.cat/individual/UDL-07005349,instance of
https://vivo.invid.udl.cat/individual/UDL-07005349,subclass of
https://vivo.invid.udl.cat/individual/UDL-07005349,publication
