uri,labels
http://dbpedia.org/resource/Semantic_Web,"[{'keyword': 'semantic web ontologies', 'language': 'en'}, {'keyword': 'semantic web', 'language': 'en'}, {'keyword': 'web semàntic', 'language': 'ca'}, {'keyword': 'web semántica', 'language': 'es'}]"
http://www.wikidata.org/entity/Q3972943,"[{'keyword': 'publishing', 'language': 'en'}, {'keyword': 'edició', 'language': 'ca'}, {'keyword': 'edición de libros', 'language': 'es'}]"
http://dbpedia.org/resource/User_interface,"[{'keyword': 'user interface', 'language': 'en'}, {'keyword': ""interfície d'usuari"", 'language': 'ca'}, {'keyword': 'interfaz de usuario', 'language': 'es'}]"
http://www.wikidata.org/entity/Q1207505,"[{'keyword': 'quality', 'language': 'en'}, {'keyword': 'quality (philosophy)', 'language': 'en'}, {'keyword': 'cualidades', 'language': 'es'}]"
http://dbpedia.org/resource/Knowledge_representation_and_reasoning,"[{'keyword': 'knowledge representation', 'language': 'en'}, {'keyword': 'knowledge representation and reasoning', 'language': 'en'}, {'keyword': 'representación del conocimiento', 'language': 'es'}]"
http://www.wikidata.org/entity/Q391810,"[{'keyword': 'thinking aloud', 'language': 'en'}, {'keyword': 'think aloud protocol', 'language': 'en'}]"
http://dbpedia.org/resource/Educational_technology,"[{'keyword': 'e-learning', 'language': 'en'}, {'keyword': 'educational technology', 'language': 'en'}, {'keyword': 'tecnologia educativa', 'language': 'ca'}, {'keyword': 'tecnología educativa', 'language': 'es'}]"
http://dbpedia.org/resource/Geodetic_datum,"[{'keyword': 'linked data', 'language': 'en'}, {'keyword': 'datum', 'language': 'ca'}, {'keyword': 'geodetic datum', 'language': 'en'}, {'keyword': 'datum', 'language': 'es'}]"
http://dbpedia.org/resource/Semantics,"[{'keyword': 'semantics', 'language': 'en'}, {'keyword': 'semàntica', 'language': 'ca'}, {'keyword': 'semántica lingüística', 'language': 'es'}]"
http://www.wikidata.org/entity/Q131765,"[{'keyword': 'multimedia', 'language': 'en'}, {'keyword': 'multimedia', 'language': 'es'}, {'keyword': 'multimèdia', 'language': 'ca'}]"
http://dbpedia.org/resource/Empathy,"[{'keyword': 'empathy', 'language': 'en'}, {'keyword': 'empatía', 'language': 'es'}]"
http://www.wikidata.org/entity/Q1297822,"[{'keyword': 'copyright', 'language': 'en'}, {'keyword': ""drets d'autor"", 'language': 'ca'}, {'keyword': 'derecho de autor', 'language': 'es'}]"
http://dbpedia.org/resource/Experience_API,"[{'keyword': 'xapi', 'language': 'en'}, {'keyword': 'tin can api', 'language': 'ca'}, {'keyword': 'experience api', 'language': 'en'}, {'keyword': 'tin can api', 'language': 'es'}]"
http://dbpedia.org/resource/Smart_contract,"[{'keyword': 'smart contract', 'language': 'en'}, {'keyword': 'contracte intel·ligent', 'language': 'ca'}]"
http://dbpedia.org/resource/Emotion,"[{'keyword': 'emotion', 'language': 'en'}, {'keyword': 'emoció', 'language': 'ca'}, {'keyword': 'emoción', 'language': 'es'}]"
http://dbpedia.org/resource/Eye_tracking,"[{'keyword': 'eye tracking', 'language': 'en'}, {'keyword': ""seguiment d'ulls"", 'language': 'ca'}, {'keyword': 'seguimiento de ojos', 'language': 'es'}]"
http://www.wikidata.org/entity/Q38926,"[{'keyword': 'news', 'language': 'en'}, {'keyword': 'notícia', 'language': 'ca'}, {'keyword': 'noticia', 'language': 'es'}]"
http://www.wikidata.org/entity/Q555097,"[{'keyword': 'accessibility', 'language': 'en'}, {'keyword': 'accesibilidad', 'language': 'es'}, {'keyword': 'accessibilitat', 'language': 'ca'}]"
http://dbpedia.org/resource/Computer,"[{'keyword': 'computer supported collaborative learning', 'language': 'en'}, {'keyword': 'ordinador', 'language': 'ca'}, {'keyword': 'computer', 'language': 'en'}, {'keyword': 'computadora', 'language': 'es'}]"
http://www.wikidata.org/entity/Q671718,"[{'keyword': 'search', 'language': 'en'}, {'keyword': 'the search', 'language': 'en'}, {'keyword': 'the search', 'language': 'ca'}, {'keyword': 'los ángeles perdidos', 'language': 'es'}]"
http://dbpedia.org/resource/Human–computer_interaction,"[{'keyword': 'human computer interaction', 'language': 'en'}, {'keyword': 'human–computer interaction', 'language': 'en'}, {'keyword': 'interacció persona-ordinador', 'language': 'ca'}, {'keyword': 'interacción persona-computadora', 'language': 'es'}]"
http://www.wikidata.org/entity/Q80091,"[{'keyword': 'integration', 'language': 'en'}, {'keyword': 'integral', 'language': 'en'}, {'keyword': 'integración', 'language': 'es'}, {'keyword': 'integració', 'language': 'ca'}]"
http://www.wikidata.org/entity/Q421064,"[{'keyword': 'cscl', 'language': 'en'}, {'keyword': 'thiophosgene', 'language': 'en'}, {'keyword': 'tiofosgeno', 'language': 'es'}]"
http://dbpedia.org/resource/Social_network,"[{'keyword': 'social networks', 'language': 'en'}, {'keyword': 'xarxa social', 'language': 'ca'}, {'keyword': 'social network', 'language': 'en'}, {'keyword': 'red social', 'language': 'es'}]"
http://www.wikidata.org/entity/Q830382,"[{'keyword': 'best practices', 'language': 'en'}, {'keyword': 'best practice', 'language': 'en'}, {'keyword': 'buenas prácticas', 'language': 'es'}]"
http://dbpedia.org/resource/Learning_object,"[{'keyword': 'learning object', 'language': 'en'}, {'keyword': ""objecte d'aprenentatge"", 'language': 'ca'}, {'keyword': 'objeto de aprendizaje', 'language': 'es'}]"
http://dbpedia.org/resource/Cooperative_learning,"[{'keyword': 'cooperative learning', 'language': 'en'}, {'keyword': 'aprenentatge cooperatiu', 'language': 'ca'}, {'keyword': 'aprendizaje cooperativo', 'language': 'es'}]"
