resource,keyword
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_Web
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q2608849
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q26853827
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/User_interface
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1952416
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q7690301
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q87976742
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Knowledge_representation_and_reasoning
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q58112993
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q97955101
https://vivo.invid.udl.cat/individual/UDL-06000001,e-learning
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Geodetic_datum
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Electroencephalography
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantics
https://vivo.invid.udl.cat/individual/UDL-06000001,innovación docente
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q131765
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Empathy
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q797551
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Geodetic_datum
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Experience_API
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Smart_contract
https://vivo.invid.udl.cat/individual/UDL-06000001,accessibility policies
https://vivo.invid.udl.cat/individual/UDL-06000001,llenguatges i sistemes informàtics
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Emotion
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Eye_tracking
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Emotion
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q38926
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q555097
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Computer
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q3953588
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q259018
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q87577849
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Human–computer_interaction
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_Web
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Computer
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1921621
https://vivo.invid.udl.cat/individual/UDL-06000001,colaboración multidisciplinar
https://vivo.invid.udl.cat/individual/UDL-06000001,pruebas con usuarios
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_Web
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q236113
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q564734
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Social_network
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q84349997
https://vivo.invid.udl.cat/individual/UDL-06000001,test de estrés de navegación
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Collaborative_learning
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q54837
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q54837
https://vivo.invid.udl.cat/individual/UDL-06000001,learning object
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Cooperative_learning
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q171
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q27318
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Biometrics
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Software_development
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Ontology
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1047808
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q52948
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Decentralized_application
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q53039502
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q2927363
https://vivo.invid.udl.cat/individual/UDL-06000001,interacción persona ordenador
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Digital_terrestrial_television
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Ontology_engineering
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1034415
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Blockchain
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q15761131
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q845921
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q5421314
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Ontology_engineering
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q845921
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Knowledge_sharing
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Upper_ontology
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q849450
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q54837
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q845921
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Affective_computing
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Quality_management_system
https://vivo.invid.udl.cat/individual/UDL-06000001,patrones de interacción
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1131616
https://vivo.invid.udl.cat/individual/UDL-06000001,design of affective interaction systems
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Ontology
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q47146
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_Web
https://vivo.invid.udl.cat/individual/UDL-06000001,arquitectura de la informació
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_MediaWiki
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1067402
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Web_application
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Knowledge_engineering
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Usability
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Massive_open_online_course
https://vivo.invid.udl.cat/individual/UDL-07003304,http://dbpedia.org/resource/Massive_open_online_course
https://vivo.invid.udl.cat/individual/UDL-07003304,http://dbpedia.org/resource/Massive_open_online_course
https://vivo.invid.udl.cat/individual/UDL-07003304,http://dbpedia.org/resource/Massive_open_online_course
https://vivo.invid.udl.cat/individual/UDL-07003304,http://dbpedia.org/resource/Massive_open_online_course
https://vivo.invid.udl.cat/individual/UDL-07003304,http://dbpedia.org/resource/Massive_open_online_course
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-00000467,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-07004996,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-07004996,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-07005349,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-07005349,http://dbpedia.org/resource/Metabolism
https://vivo.invid.udl.cat/individual/UDL-07005349,http://dbpedia.org/resource/Informatica
https://vivo.invid.udl.cat/individual/UDL-07005349,http://dbpedia.org/resource/Informatica
https://vivo.invid.udl.cat/individual/UDL-07005349,http://www.wikidata.org/entity/Q3962
https://vivo.invid.udl.cat/individual/UDL-07005349,http://www.wikidata.org/entity/Q179310
