resource,keyword
https://vivo.invid.udl.cat/individual/UDL-07001083,Human pluripotent stem cells
https://vivo.invid.udl.cat/individual/UDL-07003343,Cost-utility analysis
https://vivo.invid.udl.cat/individual/UDL-00001065,literatures in English
https://vivo.invid.udl.cat/individual/UDL-07003358,Cloud Computing
https://vivo.invid.udl.cat/individual/UDL-00001005,precision agriculture
https://vivo.invid.udl.cat/individual/UDL-07003819,precision agriculture
https://vivo.invid.udl.cat/individual/UDL-05000411,precision agriculture
https://vivo.invid.udl.cat/individual/UDL-05000685,plant epidemiology
https://vivo.invid.udl.cat/individual/UDL-00005027,Food Science & Technology
https://vivo.invid.udl.cat/individual/UDL-07004307,TIC y escuelas rurales
https://vivo.invid.udl.cat/individual/UDL-00001054,Vegetable
https://vivo.invid.udl.cat/individual/UDL-07003290,ultrasound
https://vivo.invid.udl.cat/individual/UDL-07000540,ultrasound
https://vivo.invid.udl.cat/individual/UDL-00000555,Philology
https://vivo.invid.udl.cat/individual/UDL-07003957,Social Work
https://vivo.invid.udl.cat/individual/UDL-07005614,Ecology
https://vivo.invid.udl.cat/individual/UDL-07003343,Longitudinal analysis
https://vivo.invid.udl.cat/individual/UDL-00001206,basic research cardiology
https://vivo.invid.udl.cat/individual/UDL-07003062,children's rights
https://vivo.invid.udl.cat/individual/UDL-00000504,wood science and technology
https://vivo.invid.udl.cat/individual/UDL-00000010,Poesia
https://vivo.invid.udl.cat/individual/UDL-07002541,cultura
https://vivo.invid.udl.cat/individual/UDL-00000490,flavour
https://vivo.invid.udl.cat/individual/UDL-00000218,Spray drift
https://vivo.invid.udl.cat/individual/UDL-00000466,mountain rivers
https://vivo.invid.udl.cat/individual/UDL-07004257,biomedical social sciences
https://vivo.invid.udl.cat/individual/UDL-00000607,biomedical social sciences
https://vivo.invid.udl.cat/individual/UDL-00000826,Irrigation
https://vivo.invid.udl.cat/individual/UDL-00000528,clinical trials
https://vivo.invid.udl.cat/individual/UDL-00000477,romanesque sculpture
https://vivo.invid.udl.cat/individual/UDL-00000847,food science and food technology
https://vivo.invid.udl.cat/individual/UDL-06000148,Derecho Agrario
https://vivo.invid.udl.cat/individual/UDL-07002440,multilingualism
https://vivo.invid.udl.cat/individual/UDL-00001061,multilingualism
https://vivo.invid.udl.cat/individual/UDL-07006687,multilingualism
https://vivo.invid.udl.cat/individual/UDL-07004508,multilingualism
https://vivo.invid.udl.cat/individual/UDL-00000983,social media
https://vivo.invid.udl.cat/individual/UDL-07002584,Intervención Social
https://vivo.invid.udl.cat/individual/UDL-07005557,Psychopedagogical advice
https://vivo.invid.udl.cat/individual/UDL-00000587,social economy
https://vivo.invid.udl.cat/individual/UDL-07000554,Social Determinants of Health
https://vivo.invid.udl.cat/individual/UDL-07003958,post-harvest processes
https://vivo.invid.udl.cat/individual/UDL-07001059,economic sustainability
https://vivo.invid.udl.cat/individual/UDL-00000865,health care sciences & services
https://vivo.invid.udl.cat/individual/UDL-00000607,health care sciences & services
https://vivo.invid.udl.cat/individual/UDL-05000344,health care sciences & services
https://vivo.invid.udl.cat/individual/UDL-00001206,embryonic development
https://vivo.invid.udl.cat/individual/UDL-00001644,Species distribution
https://vivo.invid.udl.cat/individual/UDL-07001839,resilience
https://vivo.invid.udl.cat/individual/UDL-07006596,risk factors
https://vivo.invid.udl.cat/individual/UDL-07003304,Thermal energy storage
https://vivo.invid.udl.cat/individual/UDL-07003304,Phase change material
https://vivo.invid.udl.cat/individual/UDL-07003304,Heat transfer
https://vivo.invid.udl.cat/individual/UDL-07003304,Road
https://vivo.invid.udl.cat/individual/UDL-07003304,Asphalt mixture
https://vivo.invid.udl.cat/individual/UDL-00001743,morphodynamics
https://vivo.invid.udl.cat/individual/UDL-00001132,AGNES
https://vivo.invid.udl.cat/individual/UDL-05000677,phisiology
https://vivo.invid.udl.cat/individual/UDL-00000180,Ciencia y sociedad
https://vivo.invid.udl.cat/individual/UDL-05000077,Pintura Gòtica
https://vivo.invid.udl.cat/individual/UDL-00005041,education & educational research
https://vivo.invid.udl.cat/individual/UDL-06000573,education & educational research
https://vivo.invid.udl.cat/individual/UDL-07001877,education & educational research
https://vivo.invid.udl.cat/individual/UDL-00000457,education & educational research
https://vivo.invid.udl.cat/individual/UDL-00000853,education & educational research
https://vivo.invid.udl.cat/individual/UDL-00000232,education & educational research
https://vivo.invid.udl.cat/individual/UDL-00000865,education & educational research
https://vivo.invid.udl.cat/individual/UDL-07005037,education & educational research
https://vivo.invid.udl.cat/individual/UDL-07005284,education & educational research
https://vivo.invid.udl.cat/individual/UDL-07005356,education & educational research
https://vivo.invid.udl.cat/individual/UDL-07005846,education & educational research
https://vivo.invid.udl.cat/individual/UDL-07000241,urology & nephrology
https://vivo.invid.udl.cat/individual/UDL-07006037,giscience
https://vivo.invid.udl.cat/individual/UDL-07005844,justicia restaurativa
https://vivo.invid.udl.cat/individual/UDL-07005844,mediación penal
https://vivo.invid.udl.cat/individual/UDL-07003062,child protection
https://vivo.invid.udl.cat/individual/UDL-00001206,cell differentiation
https://vivo.invid.udl.cat/individual/UDL-00000558,Linguistica francesa
https://vivo.invid.udl.cat/individual/UDL-07000698,Teamwork
https://vivo.invid.udl.cat/individual/UDL-00001396,weed
https://vivo.invid.udl.cat/individual/UDL-00000654,Oxidative Stress
https://vivo.invid.udl.cat/individual/UDL-07001665,Microbiology
https://vivo.invid.udl.cat/individual/UDL-07003062,Child Participation
https://vivo.invid.udl.cat/individual/UDL-00000129,Chemical Engineering
https://vivo.invid.udl.cat/individual/UDL-00000853,didàctica i organització escolar
https://vivo.invid.udl.cat/individual/UDL-00001054,Horticulture
https://vivo.invid.udl.cat/individual/UDL-07005585,Innovación didáctica
https://vivo.invid.udl.cat/individual/UDL-00000659,by-products from food industry
https://vivo.invid.udl.cat/individual/UDL-00000847,by-products from food industry
https://vivo.invid.udl.cat/individual/UDL-00000205,river ebro
https://vivo.invid.udl.cat/individual/UDL-00000691,Arte medieval
https://vivo.invid.udl.cat/individual/UDL-00000623,music
https://vivo.invid.udl.cat/individual/UDL-00000218,Fruit orchards
https://vivo.invid.udl.cat/individual/UDL-07005037,social justice and education
https://vivo.invid.udl.cat/individual/UDL-00000077,Agriculture
https://vivo.invid.udl.cat/individual/UDL-06001234,diabetes
https://vivo.invid.udl.cat/individual/UDL-07000642,diabetes
https://vivo.invid.udl.cat/individual/UDL-07003074,diabetes
https://vivo.invid.udl.cat/individual/UDL-07000626,diabetes
https://vivo.invid.udl.cat/individual/UDL-00000532,Accessibility
https://vivo.invid.udl.cat/individual/UDL-06000540,individual differences
https://vivo.invid.udl.cat/individual/UDL-00005029,stem cells
https://vivo.invid.udl.cat/individual/UDL-05000519,stem cells
https://vivo.invid.udl.cat/individual/UDL-00000994,Élites Municipales
https://vivo.invid.udl.cat/individual/UDL-00000875,Relaciones Internacionales
https://vivo.invid.udl.cat/individual/UDL-00000463,Relaciones Internacionales
https://vivo.invid.udl.cat/individual/UDL-00000590,Human Genetics
https://vivo.invid.udl.cat/individual/UDL-07001822,Art History
https://vivo.invid.udl.cat/individual/UDL-07004203,sexuality
https://vivo.invid.udl.cat/individual/UDL-07000685,local history
https://vivo.invid.udl.cat/individual/UDL-07005159,banking & finance
https://vivo.invid.udl.cat/individual/UDL-07006324,Movement-Based Interaction
https://vivo.invid.udl.cat/individual/UDL-07001511,veterinary sciences
https://vivo.invid.udl.cat/individual/UDL-07005045,usability
https://vivo.invid.udl.cat/individual/UDL-00000532,usability
https://vivo.invid.udl.cat/individual/UDL-05000369,semantic web
https://vivo.invid.udl.cat/individual/UDL-06000001,semantic web
https://vivo.invid.udl.cat/individual/UDL-00000389,semantic web
https://vivo.invid.udl.cat/individual/UDL-00001024,modality
https://vivo.invid.udl.cat/individual/UDL-07003358,Big Data
https://vivo.invid.udl.cat/individual/UDL-07006774,Labelings
https://vivo.invid.udl.cat/individual/UDL-00001644,NWFP
https://vivo.invid.udl.cat/individual/UDL-07000917,Ecotoxicity
https://vivo.invid.udl.cat/individual/UDL-00000010,Literatura
https://vivo.invid.udl.cat/individual/UDL-00000110,yeast
https://vivo.invid.udl.cat/individual/UDL-07001066,Bioactives
