resource,keyword
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_Web
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q3972943
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q96320406
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/User_interface
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1952416
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1207505
https://vivo.invid.udl.cat/individual/UDL-06000001,ulearning
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Knowledge_representation_and_reasoning
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q58112993
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q391810
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Educational_technology
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Geodetic_datum
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantics
https://vivo.invid.udl.cat/individual/UDL-06000001,innovación docente
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q131765
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Empathy
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1297822
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Geodetic_datum
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Experience_API
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Smart_contract
https://vivo.invid.udl.cat/individual/UDL-06000001,accessibility policies
https://vivo.invid.udl.cat/individual/UDL-06000001,llenguatges i sistemes informàtics
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Emotion
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Eye_tracking
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Emotion
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q38926
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q555097
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Computer
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q671718
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q90900692
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Human–computer_interaction
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_Web
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Computer
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q80091
https://vivo.invid.udl.cat/individual/UDL-06000001,colaboración multidisciplinar
https://vivo.invid.udl.cat/individual/UDL-06000001,pruebas con usuarios
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Semantic_Web
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q421064
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Social_network
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q830382
https://vivo.invid.udl.cat/individual/UDL-06000001,test de estrés de navegación
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Collaborative_learning
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q57838292
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q57838292
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Learning_object
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Cooperative_learning
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q52
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1379672
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Biometrics
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Software_development
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Ontology
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q1047808
https://vivo.invid.udl.cat/individual/UDL-06000001,http://www.wikidata.org/entity/Q52948
https://vivo.invid.udl.cat/individual/UDL-06000001,http://dbpedia.org/resource/Decentralized_application
