resource,keyword
https://experts.udl.cat/individual/UDL-07001083,Human pluripotent stem cells
https://experts.udl.cat/individual/UDL-07003343,Cost-utility analysis
https://experts.udl.cat/individual/UDL-00001065,literatures in English
https://experts.udl.cat/individual/UDL-07003358,Cloud Computing
https://experts.udl.cat/individual/UDL-00001005,precision agriculture
https://experts.udl.cat/individual/UDL-07003819,precision agriculture
https://experts.udl.cat/individual/UDL-05000411,precision agriculture
https://experts.udl.cat/individual/UDL-05000685,plant epidemiology
https://experts.udl.cat/individual/UDL-00005027,Food Science & Technology
https://experts.udl.cat/individual/UDL-07004307,TIC y escuelas rurales
https://experts.udl.cat/individual/UDL-00001054,Vegetable
https://experts.udl.cat/individual/UDL-07003290,ultrasound
https://experts.udl.cat/individual/UDL-07000540,ultrasound
https://experts.udl.cat/individual/UDL-00000555,Philology
https://experts.udl.cat/individual/UDL-07003957,Social Work
https://experts.udl.cat/individual/UDL-07005614,Ecology
https://experts.udl.cat/individual/UDL-07003343,Longitudinal analysis
https://experts.udl.cat/individual/UDL-00001206,basic research cardiology
https://experts.udl.cat/individual/UDL-07003062,children's rights
https://experts.udl.cat/individual/UDL-00000504,wood science and technology
https://experts.udl.cat/individual/UDL-00000010,Poesia
https://experts.udl.cat/individual/UDL-07002541,cultura
https://experts.udl.cat/individual/UDL-00000490,flavour
https://experts.udl.cat/individual/UDL-00000218,Spray drift
https://experts.udl.cat/individual/UDL-00000466,mountain rivers
https://experts.udl.cat/individual/UDL-07004257,biomedical social sciences
https://experts.udl.cat/individual/UDL-00000607,biomedical social sciences
https://experts.udl.cat/individual/UDL-00000826,Irrigation
https://experts.udl.cat/individual/UDL-00000528,clinical trials
https://experts.udl.cat/individual/UDL-00000477,romanesque sculpture
https://experts.udl.cat/individual/UDL-00000847,food science and food technology
https://experts.udl.cat/individual/UDL-06000148,Derecho Agrario
https://experts.udl.cat/individual/UDL-07002440,multilingualism
https://experts.udl.cat/individual/UDL-00001061,multilingualism
https://experts.udl.cat/individual/UDL-07006687,multilingualism
https://experts.udl.cat/individual/UDL-07004508,multilingualism
https://experts.udl.cat/individual/UDL-00000983,social media
https://experts.udl.cat/individual/UDL-07002584,Intervención Social
https://experts.udl.cat/individual/UDL-07005557,Psychopedagogical advice
https://experts.udl.cat/individual/UDL-00000587,social economy
https://experts.udl.cat/individual/UDL-07000554,Social Determinants of Health
https://experts.udl.cat/individual/UDL-07003958,post-harvest processes
https://experts.udl.cat/individual/UDL-07001059,economic sustainability
https://experts.udl.cat/individual/UDL-00000865,health care sciences & services
https://experts.udl.cat/individual/UDL-00000607,health care sciences & services
https://experts.udl.cat/individual/UDL-05000344,health care sciences & services
https://experts.udl.cat/individual/UDL-00001206,embryonic development
https://experts.udl.cat/individual/UDL-00001644,Species distribution
https://experts.udl.cat/individual/UDL-07001839,resilience
https://experts.udl.cat/individual/UDL-07006596,risk factors
https://experts.udl.cat/individual/UDL-07003304,Thermal energy storage; Phase change material; Heat transfer; Road; Asphalt mixture
https://experts.udl.cat/individual/UDL-00001743,morphodynamics
https://experts.udl.cat/individual/UDL-00001132,AGNES
https://experts.udl.cat/individual/UDL-05000677,phisiology
https://experts.udl.cat/individual/UDL-00000180,Ciencia y sociedad
https://experts.udl.cat/individual/UDL-05000077,Pintura Gòtica
https://experts.udl.cat/individual/UDL-00005041,education & educational research
https://experts.udl.cat/individual/UDL-06000573,education & educational research
https://experts.udl.cat/individual/UDL-07001877,education & educational research
https://experts.udl.cat/individual/UDL-00000457,education & educational research
https://experts.udl.cat/individual/UDL-00000853,education & educational research
https://experts.udl.cat/individual/UDL-00000232,education & educational research
https://experts.udl.cat/individual/UDL-00000865,education & educational research
https://experts.udl.cat/individual/UDL-07005037,education & educational research
https://experts.udl.cat/individual/UDL-07005284,education & educational research
https://experts.udl.cat/individual/UDL-07005356,education & educational research
https://experts.udl.cat/individual/UDL-07005846,education & educational research
https://experts.udl.cat/individual/UDL-07000241,urology & nephrology
https://experts.udl.cat/individual/UDL-07006037,giscience
https://experts.udl.cat/individual/UDL-07005844,justicia restaurativa; mediación penal
https://experts.udl.cat/individual/UDL-07003062,child protection
https://experts.udl.cat/individual/UDL-00001206,cell differentiation
https://experts.udl.cat/individual/UDL-00000558,Linguistica francesa
https://experts.udl.cat/individual/UDL-07000698,Teamwork
https://experts.udl.cat/individual/UDL-00001396,weed
https://experts.udl.cat/individual/UDL-00000654,Oxidative Stress
https://experts.udl.cat/individual/UDL-07001665,Microbiology
https://experts.udl.cat/individual/UDL-07003062,Child Participation
https://experts.udl.cat/individual/UDL-00000129,Chemical Engineering
https://experts.udl.cat/individual/UDL-00000853,didàctica i organització escolar
https://experts.udl.cat/individual/UDL-00001054,Horticulture
https://experts.udl.cat/individual/UDL-07005585,Innovación didáctica
https://experts.udl.cat/individual/UDL-00000659,by-products from food industry
https://experts.udl.cat/individual/UDL-00000847,by-products from food industry
https://experts.udl.cat/individual/UDL-00000205,river ebro
https://experts.udl.cat/individual/UDL-00000691,Arte medieval
https://experts.udl.cat/individual/UDL-00000623,music
https://experts.udl.cat/individual/UDL-00000218,Fruit orchards
https://experts.udl.cat/individual/UDL-07005037,social justice and education
https://experts.udl.cat/individual/UDL-00000077,Agriculture
https://experts.udl.cat/individual/UDL-06001234,diabetes
https://experts.udl.cat/individual/UDL-07000642,diabetes
https://experts.udl.cat/individual/UDL-07003074,diabetes
https://experts.udl.cat/individual/UDL-07000626,diabetes
https://experts.udl.cat/individual/UDL-00000532,Accessibility
https://experts.udl.cat/individual/UDL-06000540,individual differences
https://experts.udl.cat/individual/UDL-00005029,stem cells
https://experts.udl.cat/individual/UDL-05000519,stem cells
https://experts.udl.cat/individual/UDL-00000994,Élites Municipales
https://experts.udl.cat/individual/UDL-00000875,Relaciones Internacionales
https://experts.udl.cat/individual/UDL-00000463,Relaciones Internacionales
https://experts.udl.cat/individual/UDL-00000590,Human Genetics
https://experts.udl.cat/individual/UDL-07001822,Art History
https://experts.udl.cat/individual/UDL-07004203,sexuality
https://experts.udl.cat/individual/UDL-07000685,local history
https://experts.udl.cat/individual/UDL-07005159,banking & finance
https://experts.udl.cat/individual/UDL-07006324,Movement-Based Interaction
https://experts.udl.cat/individual/UDL-07001511,veterinary sciences
https://experts.udl.cat/individual/UDL-07005045,usability
https://experts.udl.cat/individual/UDL-00000532,usability
https://experts.udl.cat/individual/UDL-05000369,semantic web
https://experts.udl.cat/individual/UDL-06000001,semantic web
https://experts.udl.cat/individual/UDL-00000389,semantic web
https://experts.udl.cat/individual/UDL-07002451,gis
https://experts.udl.cat/individual/UDL-07006037,gis
https://experts.udl.cat/individual/UDL-00001024,modality
https://experts.udl.cat/individual/UDL-07003358,Big Data
https://experts.udl.cat/individual/UDL-07006774,Labelings
https://experts.udl.cat/individual/UDL-00001644,NWFP
https://experts.udl.cat/individual/UDL-07000917,Ecotoxicity
https://experts.udl.cat/individual/UDL-00000010,Literatura
https://experts.udl.cat/individual/UDL-00000110,yeast
https://experts.udl.cat/individual/UDL-07001066,Bioactives
https://experts.udl.cat/individual/UDL-00000532,Usability
https://experts.udl.cat/individual/UDL-00000737,water use efficiency
https://experts.udl.cat/individual/UDL-07002745,fitness evaluation
https://experts.udl.cat/individual/UDL-00000994,Èlits municipals
https://experts.udl.cat/individual/UDL-00000180,Historiography
https://experts.udl.cat/individual/UDL-06000001,blockchain
https://experts.udl.cat/individual/UDL-07003290,Pathology
https://experts.udl.cat/individual/UDL-00000607,personality assessment
https://experts.udl.cat/individual/UDL-00001024,lexicography
https://experts.udl.cat/individual/UDL-07003954,drylands
https://experts.udl.cat/individual/UDL-00000110,cardiomyocytes
https://experts.udl.cat/individual/UDL-06001234,research & experimental medicine
https://experts.udl.cat/individual/UDL-07001057,research & experimental medicine
https://experts.udl.cat/individual/UDL-00000654,research & experimental medicine
https://experts.udl.cat/individual/UDL-00000590,genetics of personality
https://experts.udl.cat/individual/UDL-05000343,ramaderia
https://experts.udl.cat/individual/UDL-00000624,Parallel and Distributed  computing. P2P
https://experts.udl.cat/individual/UDL-00000417,philology
https://experts.udl.cat/individual/UDL-00000538,personal docente e investigador
https://experts.udl.cat/individual/UDL-07002681,Study Abroad
https://experts.udl.cat/individual/UDL-07003397,Study Abroad
https://experts.udl.cat/individual/UDL-07000240,theory of literature
https://experts.udl.cat/individual/UDL-07002745,exercise physiology
https://experts.udl.cat/individual/UDL-00000875,Derecho Internacional Público
https://experts.udl.cat/individual/UDL-00000463,Derecho Internacional Público
https://experts.udl.cat/individual/UDL-07001877,Research Methodology
https://experts.udl.cat/individual/UDL-00000558,Semántica
https://experts.udl.cat/individual/UDL-00000875,Dret Internacional Públic
https://experts.udl.cat/individual/UDL-00000463,Dret Internacional Públic
https://experts.udl.cat/individual/UDL-00000281,internet
https://experts.udl.cat/individual/UDL-06000148,government & law
https://experts.udl.cat/individual/UDL-07005653,government & law
https://experts.udl.cat/individual/UDL-07003056,Stressful life events
https://experts.udl.cat/individual/UDL-07004707,Tourism
https://experts.udl.cat/individual/UDL-00000174,Disfunciones municipales
https://experts.udl.cat/individual/UDL-00000983,ewom
https://experts.udl.cat/individual/UDL-07001665,Microscopic techniques
https://experts.udl.cat/individual/UDL-00000143,Historia de España
https://experts.udl.cat/individual/UDL-00000726,Derecho civil de Catalunya
https://experts.udl.cat/individual/UDL-00001013,motor neuron
https://experts.udl.cat/individual/UDL-07003358,eHealth
https://experts.udl.cat/individual/UDL-00000865,Quality of Life
https://experts.udl.cat/individual/UDL-07000685,contemporary history
https://experts.udl.cat/individual/UDL-00001013,muscle
https://experts.udl.cat/individual/UDL-07003062,foster care
https://experts.udl.cat/individual/UDL-07000804,animal genomics
https://experts.udl.cat/individual/UDL-07001877,TRAINING FOR TRAINERS
https://experts.udl.cat/individual/UDL-00000543,contrato de trabajo
https://experts.udl.cat/individual/UDL-00000737,water balance
https://experts.udl.cat/individual/UDL-00000252,políticas de sostenibilidad
https://experts.udl.cat/individual/UDL-00000389,databases
https://experts.udl.cat/individual/UDL-00000283,skin
https://experts.udl.cat/individual/UDL-05000035,cover plants in vineyard
https://experts.udl.cat/individual/UDL-07002681,Discourse Analysis
https://experts.udl.cat/individual/UDL-00001743,gravel bed rivers
https://experts.udl.cat/individual/UDL-00000489,political geography
https://experts.udl.cat/individual/UDL-00001068,Derecho contractual europeo
https://experts.udl.cat/individual/UDL-07002635,pancreas
https://experts.udl.cat/individual/UDL-00000853,didáctica y organización escolar
https://experts.udl.cat/individual/UDL-00000691,Medieval art
https://experts.udl.cat/individual/UDL-00001206,cell biology
https://experts.udl.cat/individual/UDL-00005029,cell biology
https://experts.udl.cat/individual/UDL-07002599,cell biology
https://experts.udl.cat/individual/UDL-07005035,cell biology
https://experts.udl.cat/individual/UDL-05000056,cell biology
https://experts.udl.cat/individual/UDL-07001057,cell biology
https://experts.udl.cat/individual/UDL-00005034,cell biology
https://experts.udl.cat/individual/UDL-00000702,cell biology
https://experts.udl.cat/individual/UDL-00000226,cell biology
https://experts.udl.cat/individual/UDL-07000241,cell biology
https://experts.udl.cat/individual/UDL-07002011,Physical Activity
https://experts.udl.cat/individual/UDL-07004737,Building Engineering
https://experts.udl.cat/individual/UDL-00000174,SIG
https://experts.udl.cat/individual/UDL-07000540,Neosporosis
https://experts.udl.cat/individual/UDL-07004508,critical ethnography
https://experts.udl.cat/individual/UDL-07003062,Child Rights
https://experts.udl.cat/individual/UDL-00000222,catalan studies
https://experts.udl.cat/individual/UDL-07000554,Systems and Health Services
https://experts.udl.cat/individual/UDL-00000400,education. Flipped classroom
https://experts.udl.cat/individual/UDL-00001005,precision fructiculture
https://experts.udl.cat/individual/UDL-00000865,Health
https://experts.udl.cat/individual/UDL-00000833,Digital Humanities
https://experts.udl.cat/individual/UDL-06000149,Forest ecosystems
https://experts.udl.cat/individual/UDL-07000642,endocrinology
https://experts.udl.cat/individual/UDL-07005425,inmigration
https://experts.udl.cat/individual/UDL-07004737,pcm
https://experts.udl.cat/individual/UDL-05000559,Sleep apnea
https://experts.udl.cat/individual/UDL-00001396,weed management
https://experts.udl.cat/individual/UDL-05000035,weed management
https://experts.udl.cat/individual/UDL-07001883,Geometric morphometrics
https://experts.udl.cat/individual/UDL-07003957,Family leisure
https://experts.udl.cat/individual/UDL-06000650,Literaturas española e hispanoamericanas
https://experts.udl.cat/individual/UDL-07001511,reproductive biology
https://experts.udl.cat/individual/UDL-07004737,Construction Materials
https://experts.udl.cat/individual/UDL-05000044,fluency
https://experts.udl.cat/individual/UDL-00000759,composting
https://experts.udl.cat/individual/UDL-00001098,biotechnology & applied microbiology
https://experts.udl.cat/individual/UDL-00005023,biotechnology & applied microbiology
https://experts.udl.cat/individual/UDL-00000119,biotechnology & applied microbiology
https://experts.udl.cat/individual/UDL-05000377,biotechnology & applied microbiology
https://experts.udl.cat/individual/UDL-05000685,biotechnology & applied microbiology
https://experts.udl.cat/individual/UDL-00000570,Literatura en prensa
https://experts.udl.cat/individual/UDL-00000467,"colonic metabolism, microbiome, polyphenols, phenol metabolism, ultra-performance liquid chromatography mass spectrometry, wine"
https://experts.udl.cat/individual/UDL-07005045,android
https://experts.udl.cat/individual/UDL-00000886,clinical dermatology
https://experts.udl.cat/individual/UDL-07001004,medical physiology
https://experts.udl.cat/individual/UDL-00000281,quality services
https://experts.udl.cat/individual/UDL-00000154,landscape archaeology
https://experts.udl.cat/individual/UDL-07005601,Insomnia
https://experts.udl.cat/individual/UDL-00000445,climate change
https://experts.udl.cat/individual/UDL-00000737,climate change
https://experts.udl.cat/individual/UDL-07005349,Learning styles and philosophical orientations
https://experts.udl.cat/individual/UDL-06000001,decentralized applications
https://experts.udl.cat/individual/UDL-07001804,bioinformatics (applied to proteomics)
https://experts.udl.cat/individual/UDL-07003101,Physical therapy
https://experts.udl.cat/individual/UDL-07004996,Older people / Ageing
https://experts.udl.cat/individual/UDL-00000528,pharmacology & pharmacy
https://experts.udl.cat/individual/UDL-07001404,cryptography
https://experts.udl.cat/individual/UDL-00000128,cryptography
https://experts.udl.cat/individual/UDL-05000559,genetic
https://experts.udl.cat/individual/UDL-07004307,Sociología de la Educación
https://experts.udl.cat/individual/UDL-00000635,pheromones
https://experts.udl.cat/individual/UDL-00000445,organic carbon
https://experts.udl.cat/individual/UDL-00001073,Latin America
https://experts.udl.cat/individual/UDL-07004186,Social and Economic History
https://experts.udl.cat/individual/UDL-00000543,igualdad
https://experts.udl.cat/individual/UDL-06000095,plant ecophysiology
https://experts.udl.cat/individual/UDL-00001013,spinal muscular atrophy
https://experts.udl.cat/individual/UDL-00001253,social issues
https://experts.udl.cat/individual/UDL-07001877,social issues
https://experts.udl.cat/individual/UDL-00000741,social issues
https://experts.udl.cat/individual/UDL-00001305,social issues
https://experts.udl.cat/individual/UDL-00000704,social issues
https://experts.udl.cat/individual/UDL-00000847,fruit and vegetable matrices
https://experts.udl.cat/individual/UDL-05000330,climate change and land use
https://experts.udl.cat/individual/UDL-00000139,emotion regulation
https://experts.udl.cat/individual/UDL-07004759,miRNA
https://experts.udl.cat/individual/UDL-07004892,Sociologia
https://experts.udl.cat/individual/UDL-07007120,comunicación
https://experts.udl.cat/individual/UDL-00000635,olfaction
https://experts.udl.cat/individual/UDL-07007236,3D
https://experts.udl.cat/individual/UDL-07002541,Educacion
https://experts.udl.cat/individual/UDL-00000759,animal waste management
https://experts.udl.cat/individual/UDL-07005387,LifeLong Learning
https://experts.udl.cat/individual/UDL-00000865,Intercultural Education
https://experts.udl.cat/individual/UDL-07006624,democracia
https://experts.udl.cat/individual/UDL-00001024,constructions
https://experts.udl.cat/individual/UDL-07001784,social networks
https://experts.udl.cat/individual/UDL-07006687,social interaction
https://experts.udl.cat/individual/UDL-07005585,School libraries
https://experts.udl.cat/individual/UDL-00001132,environmental science
https://experts.udl.cat/individual/UDL-07002437,Aspergillus
https://experts.udl.cat/individual/UDL-06000650,Hispanic Literatures
https://experts.udl.cat/individual/UDL-07005045,data mining
https://experts.udl.cat/individual/UDL-00000624,data mining
https://experts.udl.cat/individual/UDL-07006706,Heridas
https://experts.udl.cat/individual/UDL-07006663,biochar
https://experts.udl.cat/individual/UDL-00000762,animal models
https://experts.udl.cat/individual/UDL-00000466,gravel-bed rivers
https://experts.udl.cat/individual/UDL-00000110,Friedreich ataxia
https://experts.udl.cat/individual/UDL-07004181,Private Law
https://experts.udl.cat/individual/UDL-06000047,Traditional Games
https://experts.udl.cat/individual/UDL-00001068,Derecho de Seguros
https://experts.udl.cat/individual/UDL-00001206,apoptosis
https://experts.udl.cat/individual/UDL-00000702,apoptosis
https://experts.udl.cat/individual/UDL-00000833,Spanish Civil War
https://experts.udl.cat/individual/UDL-07002681,Internationalisation
https://experts.udl.cat/individual/UDL-07005425,occupational health
https://experts.udl.cat/individual/UDL-00000153,nutrition & dietetics
https://experts.udl.cat/individual/UDL-06001234,nutrition & dietetics
https://experts.udl.cat/individual/UDL-07000762,nutrition & dietetics
https://experts.udl.cat/individual/UDL-00000725,nutrition & dietetics
https://experts.udl.cat/individual/UDL-00001065,theatre studies
https://experts.udl.cat/individual/UDL-06001281,Archaeology
https://experts.udl.cat/individual/UDL-05000292,European Private law
https://experts.udl.cat/individual/UDL-00001644,Non-wood forest products
https://experts.udl.cat/individual/UDL-06000297,aging
https://experts.udl.cat/individual/UDL-00001008,aging
https://experts.udl.cat/individual/UDL-07004203,aging
https://experts.udl.cat/individual/UDL-00000654,aging
https://experts.udl.cat/individual/UDL-05000120,Neurology
https://experts.udl.cat/individual/UDL-07006706,Health economics
https://experts.udl.cat/individual/UDL-00000648,cereales
https://experts.udl.cat/individual/UDL-06001281,Arqueobotanique
https://experts.udl.cat/individual/UDL-07004307,Educación y género
https://experts.udl.cat/individual/UDL-07001877,Theory and methods of education
https://experts.udl.cat/individual/UDL-00000040,Micologia forestal
https://experts.udl.cat/individual/UDL-06000149,birds
https://experts.udl.cat/individual/UDL-06000130,nod mice
https://experts.udl.cat/individual/UDL-07004307,Aprenentatge Servei
https://experts.udl.cat/individual/UDL-07005037,Inspección escolar
https://experts.udl.cat/individual/UDL-06000070,meat quality
https://experts.udl.cat/individual/UDL-00000354,Historiografia lingüística espanyola
https://experts.udl.cat/individual/UDL-07004707,User-generated content
https://experts.udl.cat/individual/UDL-00000354,llenguatges especialitzats
https://experts.udl.cat/individual/UDL-00000648,fumonisinas
https://experts.udl.cat/individual/UDL-00000107,women migrants
https://experts.udl.cat/individual/UDL-07004766,cancer immunotherapy
https://experts.udl.cat/individual/UDL-00000644,migracions
https://experts.udl.cat/individual/UDL-00000186,migracions
https://experts.udl.cat/individual/UDL-07000942,metabolic engineering
